n_categories,session,trial_id,x1_true,x2_true,x1_response,x2_response,x1_start,x2_start,rt,Sex,participant_id,stim_id
1,1,36,37,73,29,58,5,37,4284,Male,2f49261da241afa0d9c848b46d3f4d22,38
1,1,37,64,46,48,51,64,36,6327,Male,2f49261da241afa0d9c848b46d3f4d22,65
1,1,38,19,64,28,70,34,81,3632,Male,2f49261da241afa0d9c848b46d3f4d22,17
1,1,39,37,37,22,38,24,49,5064,Male,2f49261da241afa0d9c848b46d3f4d22,34
1,1,40,10,10,10,4,74,100,5017,Male,2f49261da241afa0d9c848b46d3f4d22,1
1,1,41,10,28,11,25,19,72,6713,Male,2f49261da241afa0d9c848b46d3f4d22,3
1,1,42,46,91,47,91,13,14,6336,Male,2f49261da241afa0d9c848b46d3f4d22,50
1,1,43,73,19,61,16,31,52,6746,Male,2f49261da241afa0d9c848b46d3f4d22,72
1,1,44,46,82,50,67,58,22,6844,Male,2f49261da241afa0d9c848b46d3f4d22,49
1,1,45,46,64,43,64,26,28,5610,Male,2f49261da241afa0d9c848b46d3f4d22,47
1,1,46,10,46,11,52,28,80,6836,Male,2f49261da241afa0d9c848b46d3f4d22,5
1,1,47,73,46,80,35,38,28,4444,Male,2f49261da241afa0d9c848b46d3f4d22,75
1,1,48,37,55,54,53,85,69,11288,Male,2f49261da241afa0d9c848b46d3f4d22,36
1,1,49,46,10,58,13,85,80,6408,Male,2f49261da241afa0d9c848b46d3f4d22,41
1,1,50,91,64,86,68,40,44,7005,Male,2f49261da241afa0d9c848b46d3f4d22,97
1,1,51,10,64,6,78,32,37,6400,Male,2f49261da241afa0d9c848b46d3f4d22,7
1,1,52,28,46,27,42,96,22,6524,Male,2f49261da241afa0d9c848b46d3f4d22,25
1,1,53,91,82,79,88,11,52,7985,Male,2f49261da241afa0d9c848b46d3f4d22,99
1,1,54,19,55,24,69,91,73,6204,Male,2f49261da241afa0d9c848b46d3f4d22,16
1,1,55,37,28,30,21,99,50,8658,Male,2f49261da241afa0d9c848b46d3f4d22,33
1,1,56,46,28,42,22,98,82,6356,Male,2f49261da241afa0d9c848b46d3f4d22,43
1,1,57,55,55,50,62,57,94,7387,Male,2f49261da241afa0d9c848b46d3f4d22,56
1,1,58,10,91,8,90,13,35,4334,Male,2f49261da241afa0d9c848b46d3f4d22,10
1,1,59,55,82,51,88,48,96,8856,Male,2f49261da241afa0d9c848b46d3f4d22,59
1,1,60,46,19,52,25,89,68,6417,Male,2f49261da241afa0d9c848b46d3f4d22,42
1,1,61,28,19,23,18,88,79,6675,Male,2f49261da241afa0d9c848b46d3f4d22,22
1,1,62,82,73,77,77,11,61,9086,Male,2f49261da241afa0d9c848b46d3f4d22,88
1,1,63,28,55,40,70,52,82,6615,Male,2f49261da241afa0d9c848b46d3f4d22,26
1,1,64,55,37,41,46,74,78,5746,Male,2f49261da241afa0d9c848b46d3f4d22,54
1,1,65,19,91,16,76,56,87,5015,Male,2f49261da241afa0d9c848b46d3f4d22,20
1,1,66,91,91,93,88,34,100,5346,Male,2f49261da241afa0d9c848b46d3f4d22,100
1,1,67,55,46,81,35,70,67,5537,Male,2f49261da241afa0d9c848b46d3f4d22,55
1,1,68,82,37,72,34,59,9,4695,Male,2f49261da241afa0d9c848b46d3f4d22,84
1,1,69,10,37,15,33,35,2,6656,Male,2f49261da241afa0d9c848b46d3f4d22,4
1,1,70,73,55,69,35,74,12,7165,Male,2f49261da241afa0d9c848b46d3f4d22,76
1,1,71,37,19,36,20,39,87,6187,Male,2f49261da241afa0d9c848b46d3f4d22,32
1,1,72,64,37,63,31,58,48,6767,Male,2f49261da241afa0d9c848b46d3f4d22,64
1,1,73,73,64,69,71,61,40,7276,Male,2f49261da241afa0d9c848b46d3f4d22,77
1,1,74,82,28,74,23,27,12,6186,Male,2f49261da241afa0d9c848b46d3f4d22,83
1,1,75,64,82,58,74,99,62,6214,Male,2f49261da241afa0d9c848b46d3f4d22,69
1,1,76,82,82,69,90,96,11,4334,Male,2f49261da241afa0d9c848b46d3f4d22,89
1,1,77,55,64,65,75,94,70,7226,Male,2f49261da241afa0d9c848b46d3f4d22,57
1,1,78,64,10,62,15,18,10,5446,Male,2f49261da241afa0d9c848b46d3f4d22,61
1,1,79,46,73,42,34,77,11,7194,Male,2f49261da241afa0d9c848b46d3f4d22,48
1,1,80,55,28,52,29,57,84,8084,Male,2f49261da241afa0d9c848b46d3f4d22,53
